bank,fold,train_rows,test_rows,train_end,test_start,alpha,beta,persistence
BID,1,503,500,2018-02-22,2018-02-23,0.06630901772715148,0.8542328516993769,0.9205418694265284
BID,2,1003,500,2020-02-24,2020-02-25,0.055818229271880446,0.9255645046222389,0.9813827338941193
BID,3,1503,500,2022-02-22,2022-02-23,0.06297719022997994,0.9110667320868404,0.9740439223168204
BID,4,2003,500,2024-02-22,2024-02-23,0.060011774908346006,0.9191102596093306,0.9791220345176765
CTG,1,500,497,2018-03-12,2018-03-13,0.08647148078110864,0.8865982868732851,0.9730697676543938
CTG,2,997,497,2020-03-06,2020-03-09,0.08807362584765499,0.8916507505801878,0.9797243764278428
CTG,3,1494,497,2022-03-02,2022-03-03,0.0824989862704595,0.8958061019113802,0.9783050881818397
CTG,4,1991,497,2024-02-27,2024-02-28,0.08690068877212603,0.8921401936386509,0.979040882410777
VCB,1,503,500,2018-02-22,2018-02-23,0.06714741605291862,0.9180052975597552,0.9851527136126739
VCB,2,1003,500,2020-02-24,2020-02-25,0.05170643406414174,0.933369910763395,0.9850763448275368
VCB,3,1503,500,2022-02-22,2022-02-23,0.06910569542001116,0.9013383773434597,0.9704440727634709
VCB,4,2003,500,2024-02-22,2024-02-23,0.07154042612449468,0.8906901383162334,0.9622305644407281
