bank,fold,model,train_rows,test_rows,train_end,test_start,test_end,mae,rmse
BID,1,Naive,503,500,2018-02-22,2018-02-23,2020-02-24,0.016183782006922002,0.02183553565588694
BID,1,GARCH-only,503,500,2018-02-22,2018-02-23,2020-02-24,0.012353495451067011,0.016294779992227667
BID,1,XGBoost,503,500,2018-02-22,2018-02-23,2020-02-24,0.01653343429157138,0.019202829784245645
BID,1,GARCH-XGBoost main,503,500,2018-02-22,2018-02-23,2020-02-24,0.01673293179618173,0.019419438840606193
BID,2,Naive,1003,500,2020-02-24,2020-02-25,2022-02-22,0.0146801510731192,0.02036391359015551
BID,2,GARCH-only,1003,500,2020-02-24,2020-02-25,2022-02-22,0.012243000120460906,0.015883478104773
BID,2,XGBoost,1003,500,2020-02-24,2020-02-25,2022-02-22,0.0184772256687544,0.02129937987261233
BID,2,GARCH-XGBoost main,1003,500,2020-02-24,2020-02-25,2022-02-22,0.01831947358334855,0.02106569226746898
BID,3,Naive,1503,500,2022-02-22,2022-02-23,2024-02-22,0.013766270985039998,0.019845444448753975
BID,3,GARCH-only,1503,500,2022-02-22,2022-02-23,2024-02-22,0.011737228245647284,0.015318694469110907
BID,3,XGBoost,1503,500,2022-02-22,2022-02-23,2024-02-22,0.023975639217285624,0.026526113504726022
BID,3,GARCH-XGBoost main,1503,500,2022-02-22,2022-02-23,2024-02-22,0.022925815360672813,0.025509694999292797
BID,4,Naive,2003,500,2024-02-22,2024-02-23,2026-02-26,0.010092367430919999,0.015265979721493078
BID,4,GARCH-only,2003,500,2024-02-22,2024-02-23,2026-02-26,0.009332608988357062,0.012693710570127484
BID,4,XGBoost,2003,500,2024-02-22,2024-02-23,2026-02-26,0.01963145041114879,0.021637535967893404
BID,4,GARCH-XGBoost main,2003,500,2024-02-22,2024-02-23,2026-02-26,0.02032911842758876,0.0223501885656036
CTG,1,Naive,500,497,2018-03-12,2018-03-13,2020-03-06,0.014995711145187123,0.02068503006774516
CTG,1,GARCH-only,500,497,2018-03-12,2018-03-13,2020-03-06,0.011742069132451722,0.015466663897045135
CTG,1,XGBoost,500,497,2018-03-12,2018-03-13,2020-03-06,0.01455344151303971,0.017435278239402375
CTG,1,GARCH-XGBoost main,500,497,2018-03-12,2018-03-13,2020-03-06,0.013711337341080224,0.0168213297267921
CTG,2,Naive,997,497,2020-03-06,2020-03-09,2022-03-02,0.016244837470478873,0.021812802781181657
CTG,2,GARCH-only,997,497,2020-03-06,2020-03-09,2022-03-02,0.012315388540786409,0.016030819153463407
CTG,2,XGBoost,997,497,2020-03-06,2020-03-09,2022-03-02,0.016653388997954734,0.019737540942712923
CTG,2,GARCH-XGBoost main,997,497,2020-03-06,2020-03-09,2022-03-02,0.01736257876880433,0.020424183285260838
CTG,3,Naive,1494,497,2022-03-02,2022-03-03,2024-02-27,0.013370564547183099,0.01939050279184149
CTG,3,GARCH-only,1494,497,2022-03-02,2022-03-03,2024-02-27,0.010654341487417875,0.014345440098202688
CTG,3,XGBoost,1494,497,2022-03-02,2022-03-03,2024-02-27,0.01701114771004895,0.01982612732889758
CTG,3,GARCH-XGBoost main,1494,497,2022-03-02,2022-03-03,2024-02-27,0.01630270239823364,0.01923095954792128
CTG,4,Naive,1991,497,2024-02-27,2024-02-28,2026-02-26,0.010914824392802815,0.015926276076438185
CTG,4,GARCH-only,1991,497,2024-02-27,2024-02-28,2026-02-26,0.009683515419966697,0.012799157053325058
CTG,4,XGBoost,1991,497,2024-02-27,2024-02-28,2026-02-26,0.011075836731116171,0.013638425327844261
CTG,4,GARCH-XGBoost main,1991,497,2024-02-27,2024-02-28,2026-02-26,0.010330784073172547,0.013078150940506239
VCB,1,Naive,503,500,2018-02-22,2018-02-23,2020-02-24,0.011956537365772001,0.016474289234191794
VCB,1,GARCH-only,503,500,2018-02-22,2018-02-23,2020-02-24,0.009539788578480668,0.012441865548635982
VCB,1,XGBoost,503,500,2018-02-22,2018-02-23,2020-02-24,0.010375915632458913,0.013209000403028361
VCB,1,GARCH-XGBoost main,503,500,2018-02-22,2018-02-23,2020-02-24,0.01033420071948073,0.013244768403700376
VCB,2,Naive,1003,500,2020-02-24,2020-02-25,2022-02-22,0.0116881799005332,0.016866497878863067
VCB,2,GARCH-only,1003,500,2020-02-24,2020-02-25,2022-02-22,0.010086532117212247,0.013366854440975053
VCB,2,XGBoost,1003,500,2020-02-24,2020-02-25,2022-02-22,0.01254559019847331,0.01545004618676701
VCB,2,GARCH-XGBoost main,1003,500,2020-02-24,2020-02-25,2022-02-22,0.011820474499561261,0.014934846317434467
VCB,3,Naive,1503,500,2022-02-22,2022-02-23,2024-02-22,0.010111268921816801,0.013986026518309875
VCB,3,GARCH-only,1503,500,2022-02-22,2022-02-23,2024-02-22,0.008496200491033395,0.010797585256574488
VCB,3,XGBoost,1503,500,2022-02-22,2022-02-23,2024-02-22,0.011903406938082114,0.013849943162231008
VCB,3,GARCH-XGBoost main,1503,500,2022-02-22,2022-02-23,2024-02-22,0.012151015834907441,0.014079802110311143
VCB,4,Naive,2003,500,2024-02-22,2024-02-23,2026-02-26,0.0076474245577256,0.01272423824231861
VCB,4,GARCH-only,2003,500,2024-02-22,2024-02-23,2026-02-26,0.00799679089565933,0.011328698801558902
VCB,4,XGBoost,2003,500,2024-02-22,2024-02-23,2026-02-26,0.014868836527309038,0.0165971192970705
VCB,4,GARCH-XGBoost main,2003,500,2024-02-22,2024-02-23,2026-02-26,0.012618942667647083,0.01463560568872522
