bank,model,train_rows,test_rows,train_end,test_start,target,mae,rmse,qlike
BID,Naive,2002,501,2024-02-21,2024-02-22,abs(log_return_t+1),0.010160522330838324,0.015378268788775276,106480.70293481843
BID,GARCH-only,2002,501,2024-02-21,2024-02-22,abs(log_return_t+1),0.010136515624635245,0.01313899176487924,1.513446833536747
BID,Boosting,2002,501,2024-02-21,2024-02-22,abs(log_return_t+1),0.017974213489325073,0.019746200473872728,1.7447433401580006
BID,Boosting+GARCH,2002,501,2024-02-21,2024-02-22,abs(log_return_t+1),0.017008376534886276,0.018802329199307743,1.7159684796408017
CTG,Naive,1990,498,2024-02-26,2024-02-27,abs(log_return_t+1),0.010910073340363454,0.01591488896538263,77321.93868189648
CTG,GARCH-only,1990,498,2024-02-26,2024-02-27,abs(log_return_t+1),0.010320584619480539,0.013058036824249261,1.2400041081765434
CTG,Boosting,1990,498,2024-02-26,2024-02-27,abs(log_return_t+1),0.020842679606287638,0.02294186493037509,1.5371257793967947
CTG,Boosting+GARCH,1990,498,2024-02-26,2024-02-27,abs(log_return_t+1),0.02053781787572608,0.0225594016058796,1.530565705764145
VCB,Naive,2002,501,2024-02-21,2024-02-22,abs(log_return_t+1),0.007655942649632335,0.012722674242247734,60050.2413954162
VCB,GARCH-only,2002,501,2024-02-21,2024-02-22,abs(log_return_t+1),0.008525261980345027,0.0115815547672089,1.6747610503074493
VCB,Boosting,2002,501,2024-02-21,2024-02-22,abs(log_return_t+1),0.010245537035494166,0.013059689051182497,1.723324693404448
VCB,Boosting+GARCH,2002,501,2024-02-21,2024-02-22,abs(log_return_t+1),0.010211313993555272,0.0129324498578701,1.7294206053276022
