bank,ridge_alpha,ridge_mae,ensemble_mae
BID,0.1,0.008341180529588745,0.007433819395102848
BID,1.0,0.008350953161307283,0.0073178122716275286
BID,10.0,0.008455685685725802,0.007347863966275211
BID,100.0,0.008465077482152483,0.0073479880407133335
CTG,0.1,0.008836764021617552,0.007792199191779611
CTG,1.0,0.008875944900695508,0.007716052959813326
CTG,10.0,0.008883936804793402,0.007669400955673155
CTG,100.0,0.008865355132103769,0.007663971429142742
VCB,0.1,0.006433035057656342,0.005889420237717629
VCB,1.0,0.006550294036180914,0.005811664719528512
VCB,10.0,0.0066467075559917856,0.005826242280605188
VCB,100.0,0.00666663395175047,0.005842065171391816
