bank,comparison,dm_stat,p_value,significant_05
BID,GARCH+Ridge vs Naive,-7.140409144928794,9.305889392408062e-13,Yes
BID,GARCH vs Naive,-3.4588175359856006,0.0005425523196462834,Yes
BID,Ridge vs Naive,-6.045992842398315,1.4849268481498257e-09,Yes
BID,GARCH+Ridge vs GARCH,-6.4628694362394254,1.0273604189592334e-10,Yes
BID,GARCH+Ridge vs Ridge,-3.5688518941759964,0.0003585490339044206,Yes
BID,GARCH vs Ridge,2.1715112935366134,0.02989254439289346,Yes
CTG,GARCH+Ridge vs Naive,-3.966294923477243,7.299852777320481e-05,Yes
CTG,GARCH vs Naive,-2.898477386294615,0.003749793487796582,Yes
CTG,Ridge vs Naive,-2.2412585364542585,0.025009333097977038,Yes
CTG,GARCH+Ridge vs GARCH,-1.7276062575521776,0.08405884017260079,No
CTG,GARCH+Ridge vs Ridge,-3.9783550882205314,6.939368423974912e-05,Yes
CTG,GARCH vs Ridge,-1.0884946717190593,0.27637678753632033,No
VCB,GARCH+Ridge vs Naive,-7.174835617026374,7.238654120556021e-13,Yes
VCB,GARCH vs Naive,-2.154724363752132,0.03118341008088099,Yes
VCB,Ridge vs Naive,-6.62576883365081,3.4544589411211746e-11,Yes
VCB,GARCH+Ridge vs GARCH,-7.210602454965597,5.571099137569036e-13,Yes
VCB,GARCH+Ridge vs Ridge,-1.7437622193980713,0.08120056092112393,No
VCB,GARCH vs Ridge,4.0858987822985,4.3906517373626386e-05,Yes
