ds,y,yhat1,ar1,lagged_regressor_volume1,lagged_regressor_rsi1,lagged_regressor_volatility_20d1,lagged_regressor_vnindex_close1,lagged_regressor_vn30_close1,lagged_regressor_usd_vnd1,lagged_regressor_interest_rate1,trend,season_weekly
2016-02-04,8.13,,,,,,,,,,,
2016-02-05,8.23,,,,,,,,,,,
2016-02-08,8.23,,,,,,,,,,,
2016-02-09,8.23,,,,,,,,,,,
2016-02-10,8.23,,,,,,,,,,,
2016-02-11,8.23,,,,,,,,,,,
2016-02-12,8.23,,,,,,,,,,,
2016-02-15,8.23,,,,,,,,,,,
2016-02-16,8.18,,,,,,,,,,,
2016-02-17,8.03,,,,,,,,,,,
2016-02-18,8.08,8.361821,-5.894782,0.52737087,-2.5072045,0.17545597,6.6324263,-5.2037272,0.12607713,0.40126517,10.897667,3.2072735
2016-02-19,8.28,8.271912,7.8515706,0.14967437,-0.7115756,0.049796578,1.8823646,-1.4768822,0.03578225,0.11388402,10.902288,-10.524991
2016-02-22,8.63,9.1043625,7.090574,2.472898,-11.756547,0.8227317,31.10015,-24.40083,0.59118897,1.8815749,10.916152,-9.613527
2016-02-23,8.53,9.174337,-7.1508574,2.8364937,-13.48514,0.9436998,35.672874,-27.988539,0.6781129,2.1582272,10.9207735,4.5886936
2016-02-24,9.09,9.535987,-15.246078,4.3235865,-20.555012,1.4384546,54.375145,-42.66213,1.0336281,3.289724,10.925395,12.613278
2016-02-25,9.19,9.937703,-6.156932,6.8914104,-32.762856,2.292768,86.66911,-67.99962,1.6475109,5.243526,10.9300165,3.1827643
2016-02-26,9.24,10.978743,7.5379763,10.531469,-50.068268,3.5038135,132.44794,-103.91718,2.5177298,8.013168,10.934637,-10.522546
2016-02-29,8.88,9.906107,6.804386,6.1710286,-29.338045,2.0530977,77.609314,-60.891403,1.4752911,4.695403,10.948502,-9.621466
2016-03-01,8.88,10.15065,-7.9975615,9.094687,-43.237583,3.0257974,114.37842,-89.74003,2.1742425,6.919953,10.953123,4.5796075
2016-03-02,9.19,10.9104185,-15.731075,10.684999,-50.798172,3.5548928,134.3788,-105.432106,2.5544338,8.129986,10.957745,12.610923
2016-03-03,9.14,11.513872,-5.733246,10.808693,-51.38624,3.596046,135.93443,-106.65264,2.584005,8.224103,10.962366,3.176352
2016-03-04,9.09,10.642382,8.501256,5.8819666,-27.9638,1.9569268,73.97395,-58.03914,1.4061859,4.4754624,10.966988,-10.517418
2016-03-07,8.98,10.116459,7.275783,5.1209793,-24.345945,1.7037469,64.40348,-50.53025,1.2242588,3.8964434,10.980852,-9.612884
2016-03-08,8.93,10.514452,-6.745687,5.8613997,-27.86602,1.9500842,73.715294,-57.836197,1.4012691,4.459813,10.985473,4.589025
2016-03-09,8.73,9.878634,-14.299267,1.9762771,-9.395534,0.6575062,24.854448,-19.500523,0.47246325,1.5037068,10.990094,12.619463
2016-03-10,8.88,8.75358,-4.8440547,-2.075818,9.868766,-0.6906234,-26.106312,20.482721,-0.4962602,-1.5794452,10.994716,3.1998897
2016-03-11,8.88,9.264865,8.466458,1.1076092,-5.2657495,0.36850095,13.929735,-10.929114,0.26479316,0.8427561,10.999337,-10.519461
2016-03-14,8.88,9.82259,7.6799617,2.608796,-12.402628,0.8679449,32.809258,-25.741776,0.6236778,1.9849769,11.013202,-9.62082
2016-03-15,8.78,9.663516,-6.2329936,0.95897585,-4.559123,0.3190507,12.060462,-9.462503,0.22925977,0.72966415,11.017822,4.602902
2016-03-16,8.88,9.690727,-14.459076,1.7949315,-8.533388,0.5971727,22.573774,-17.711132,0.42910942,1.3657249,11.022444,12.611167
2016-03-17,8.88,9.410627,-5.229649,1.4595206,-6.9387918,0.48558164,18.355513,-14.40153,0.34892362,1.1105179,11.027065,3.193477
2016-03-18,8.83,9.801376,8.537286,2.630978,-12.508085,0.8753249,33.088226,-25.960653,0.6289808,2.001855,11.031687,-10.524222
2016-03-21,8.83,9.175126,7.6065264,0.47043023,-2.2364998,0.15651186,5.9163175,-4.641877,0.11246448,0.35794026,11.045551,-9.61224
2016-03-22,8.68,9.670776,-7.009629,3.683732,-17.513044,1.2255753,46.32808,-36.34849,0.8806598,2.8028727,11.050173,4.5708528
2016-03-23,8.83,9.364115,-14.729267,1.4772145,-7.022911,0.4914684,18.578037,-14.57612,0.35315365,1.1239808,11.054794,12.613766
2016-03-24,8.63,9.382519,-5.3119087,1.5794275,-7.5088477,0.52547455,19.863508,-15.584687,0.37758946,1.2017524,11.059416,3.1807954
2016-03-25,8.68,9.57092,8.381206,2.2669768,-10.777566,0.75422186,28.510405,-22.368944,0.54196,1.724894,11.064036,-10.526268
2016-03-28,8.63,9.281774,7.4273386,1.322056,-6.2852635,0.4398473,16.626705,-13.045126,0.3160604,1.0059241,11.077901,-9.603667
2016-03-29,8.48,10.217564,-6.8282866,4.809246,-22.863913,1.6000333,60.48299,-47.454277,1.1497333,3.6592517,11.082522,4.58027
2016-03-30,8.48,8.793654,-14.641474,-0.9160028,4.354822,-0.3047536,-11.520016,9.038476,-0.21898632,-0.6969669,11.087144,12.611411
2016-03-31,8.38,9.359079,-5.416491,1.7302563,-8.225912,0.5756553,21.760393,-17.07296,0.4136477,1.3165148,11.091765,3.1862128
2016-04-01,8.33,8.844867,8.279226,-0.033526182,0.15938875,-0.01115414,-0.42163858,0.3308129,-0.008015013,-0.02550935,11.096386,-10.521105
2016-04-04,8.28,8.509626,7.400091,-1.3530723,6.432719,-0.4501663,-17.016775,13.3511715,-0.32347533,-1.0295236,11.11025,-9.611594
2016-04-05,8.33,7.7087193,-6.846014,-3.9982417,19.008272,-1.3302127,-50.283478,39.45186,-0.9558489,-3.0421762,11.114872,4.589689
2016-04-06,8.48,7.5248513,-14.937116,-4.383601,20.840334,-1.4584216,-55.129917,43.25432,-1.0479758,-3.3353882,11.1194935,12.603123
2016-04-07,8.48,8.301583,-5.53592,-1.7258816,8.205113,-0.5741998,-21.705374,17.029795,-0.41260183,-1.3131862,11.124115,3.2097235
2016-04-08,8.43,8.3375435,8.056405,-1.1593189,5.5115857,-0.3857047,-14.580057,11.43935,-0.27715525,-0.8821009,11.1287365,-10.514197
2016-04-11,8.38,9.051933,6.9383707,2.0532951,-9.761689,0.68313015,25.82306,-20.260483,0.49087575,1.5623083,11.1426,-9.619531
2016-04-12,8.13,9.446138,-7.4326334,3.8579462,-18.341286,1.2835363,48.519066,-38.06752,0.92230874,2.9354284,11.147222,4.62207
2016-04-13,7.93,8.856624,-15.322317,1.3860179,-6.589348,0.46112734,17.431114,-13.676256,0.33135155,1.0545913,11.151843,12.628502
2016-04-14,7.98,7.697291,-6.008725,-2.2322378,10.6124115,-0.74266416,-28.073511,22.026161,-0.53365505,-1.6984618,11.156465,3.1915054
2016-04-15,8.03,7.8711176,7.705466,-1.6412002,7.802525,-0.5460263,-20.640387,16.194218,-0.3923573,-1.248754,11.161086,-10.523453
2016-04-18,7.93,7.971302,7.1263633,-2.5003564,11.88709,-0.83186704,-31.445478,24.67177,-0.59775347,-1.9024675,11.17495,-9.61095
2016-04-19,7.83,7.8169355,-7.0607157,-3.037161,14.439144,-1.0104617,-38.19655,29.968584,-0.7260859,-2.3109107,11.179571,4.5715165
2016-04-20,7.88,7.009364,-15.318506,-5.113563,24.310686,-1.7012793,-64.3102,50.457066,-1.2224857,-3.8908,11.184193,12.614252
2016-04-21,7.98,7.2008467,-6.030069,-3.952684,18.791685,-1.3150556,-49.71053,39.002323,-0.9449575,-3.0075123,11.188814,3.178827
