ds,y,yhat1,ar1,lagged_regressor_volume1,lagged_regressor_rsi1,lagged_regressor_volatility_20d1,lagged_regressor_vnindex_close1,lagged_regressor_vn30_close1,lagged_regressor_usd_vnd1,lagged_regressor_interest_rate1,trend,season_weekly
2016-03-03,7.65,,,,,,,,,,,
2016-03-04,7.56,,,,,,,,,,,
2016-03-07,7.56,,,,,,,,,,,
2016-03-08,7.52,,,,,,,,,,,
2016-03-09,7.39,,,,,,,,,,,
2016-03-10,7.43,,,,,,,,,,,
2016-03-11,7.39,,,,,,,,,,,
2016-03-14,7.39,,,,,,,,,,,
2016-03-15,7.35,,,,,,,,,,,
2016-03-16,7.35,,,,,,,,,,,
2016-03-17,7.39,7.4229145,-0.74485683,-0.021594413,-0.4550562,0.05561663,1.2544588,-0.99553037,-0.046293493,0.10686531,6.6263304,1.6429749
2016-03-18,7.35,7.661534,6.6649423,0.017290395,0.3643582,-0.044531588,-1.0044305,0.7971096,0.037066665,-0.08556581,6.6282134,-5.7129183
2016-03-21,7.35,7.371993,6.16627,-0.041225515,-0.86873984,0.10617674,2.3948655,-1.9005497,-0.0883781,0.2040147,6.6338634,-5.2343035
2016-03-22,7.26,7.4929276,-1.6301574,0.029714826,0.62617654,-0.07653084,-1.7261884,1.369892,0.06370181,-0.1470512,6.635747,2.3476233
2016-03-23,7.31,7.476288,-5.876491,0.013429744,0.2830032,-0.034588445,-0.78015834,0.6191286,0.028790308,-0.06646042,6.63763,6.652004
2016-03-24,7.18,7.1772757,-0.88419425,-0.045487255,-0.9585468,0.117152885,2.6424375,-2.0970213,-0.097514294,0.22510496,6.6395135,1.6358308
2016-03-25,7.18,7.237563,6.4728227,-0.03463164,-0.72978795,0.08919414,2.011815,-1.5965635,-0.07424233,0.17138328,6.641397,-5.7138233
2016-03-28,7.18,7.325446,5.9939938,-0.018250052,-0.3845809,0.047003195,1.0601788,-0.84135103,-0.03912395,0.09031491,6.647047,-5.2297854
2016-03-29,7.05,7.9606667,-1.6582912,0.13133267,2.7675557,-0.3382486,-7.629354,6.0546055,0.28154728,-0.6499323,6.64893,2.3525214
2016-03-30,7.09,7.0675254,-5.819441,-0.08818814,-1.858377,0.22712947,5.12301,-4.0655875,-0.18905528,0.43642095,6.6508136,6.6507998
2016-03-31,6.97,7.3163743,-0.9212513,-0.011396369,-0.24015416,0.029351462,0.6620358,-0.52538735,-0.024431214,0.05639776,6.652697,1.6385126
2016-04-01,6.92,7.19096,6.380428,-0.02834193,-0.5972457,0.072994925,1.6464343,-1.3065996,-0.06075863,0.14025708,6.65458,-5.7107882
2016-04-04,7.01,6.5904465,5.9584556,-0.16892554,-3.5597456,0.43506947,9.813192,-7.787687,-0.36213785,0.83597004,6.66023,-5.233977
2016-04-05,6.97,6.5595975,-1.7074444,-0.16004129,-3.3725288,0.412188,9.297091,-7.378111,-0.34309202,0.7920041,6.6621137,2.3574188
2016-04-06,7.09,6.8807516,-6.0364585,-0.08365891,-1.7629331,0.21546438,4.859899,-3.8567843,-0.17934562,0.4140069,6.6639967,6.646565
2016-04-07,7.09,6.9719353,-1.0489923,-0.06294765,-1.3264874,0.16212231,3.6567438,-2.9019682,-0.1349454,0.31151208,6.66588,1.6510179
2016-04-08,7.09,7.4769,6.1394434,0.0802597,1.6913022,-0.20670968,-4.6624327,3.700076,0.17205851,-0.39718506,6.6677637,-5.7076764
2016-04-11,7.01,7.7165413,5.641417,0.13609158,2.8678398,-0.35050526,-7.905808,6.2739983,0.2917493,-0.67348295,6.6734138,-5.2381716
2016-04-12,6.88,7.8659334,-2.0196157,0.17772426,3.7451596,-0.45773065,-10.3243265,8.193318,0.38100028,-0.8795126,6.675297,2.3746192
2016-04-13,6.88,7.2013154,-6.3877254,0.053665634,1.1308888,-0.13821639,-3.1175344,2.4740553,0.11504687,-0.26557773,6.6771803,6.6595325
2016-04-14,6.84,7.3967104,-1.3811336,0.09716314,2.0475059,-0.25024468,-5.644384,4.4793463,0.2082956,-0.48083594,6.679064,1.6419336
2016-04-15,6.88,7.1862693,6.108361,0.023285186,0.49068564,-0.059971236,-1.3526789,1.0734773,0.049918126,-0.11523253,6.680947,-5.7125225
2016-04-18,6.84,6.950136,5.7011037,-0.043369006,-0.91390926,0.111697316,2.5193846,-1.9993672,-0.09297326,0.2146223,6.686597,-5.2336497
2016-04-19,6.8,7.127973,-1.9248909,0.003485587,0.0734513,-0.0089771645,-0.2024841,0.16069007,0.007472303,-0.017249292,6.6884804,2.3479953
2016-04-20,6.8,6.640295,-6.2362313,-0.09912904,-2.088933,0.25530785,5.758587,-4.5699773,-0.21251006,0.4905647,6.690364,6.6522527
2016-04-21,6.8,6.64483,-1.264018,-0.088941604,-1.8742545,0.22907,5.1667795,-4.1003227,-0.19067049,0.4401496,6.692247,1.6347916
2016-04-22,7.14,6.4326444,6.034489,-0.12389751,-2.6108756,0.3190993,7.1974316,-5.711835,-0.26560798,0.6131376,6.6941304,-5.713427
2016-04-25,7.26,7.7316036,5.5043287,0.16092092,3.391065,-0.41445345,-9.348188,7.418662,0.34497774,-0.7963571,6.6997805,-5.2291317
2016-04-26,7.18,8.724003,-2.138216,0.3844574,8.10162,-0.990174,-22.333832,17.723986,0.824189,-1.902583,6.7016635,2.3528936
2016-04-27,7.01,8.120586,-6.5130186,0.27202225,5.732289,-0.7005961,-15.802268,12.540578,0.58315367,-1.3461697,6.703547,6.65105
2016-04-28,6.88,8.124616,-1.763109,0.3285558,6.9236126,-0.8461988,-19.086405,15.146847,0.7043487,-1.6259398,6.7054305,1.637474
2016-04-29,7.05,7.949602,5.6634297,0.27377513,5.769227,-0.70511067,-15.904097,12.621388,0.58691144,-1.3548443,6.7073135,-5.708391
2016-05-02,7.023333333333333,7.984078,5.4952292,0.21464041,4.523089,-0.5528085,-12.468852,9.895201,0.46014005,-1.0622014,6.7129636,-5.2333226
2016-05-03,6.996666666666666,7.799894,-2.096958,0.1752955,3.693979,-0.45147538,-10.183236,8.08135,0.37579358,-0.86749333,6.714847,2.357791
2016-05-04,6.97,7.676921,-6.405586,0.15108135,3.1837175,-0.3891116,-8.776591,6.9650464,0.32388398,-0.7476636,6.71673,6.655414
2016-05-05,7.09,8.161779,-1.3037332,0.23454514,4.9425383,-0.6040734,-13.6251545,10.812834,0.50281125,-1.1607049,6.7186136,1.6441022
2016-05-06,7.35,7.4387584,6.240782,0.039724324,0.8371054,-0.102310404,-2.3076584,1.8313427,0.08515989,-0.19658569,6.720497,-5.7092977
2016-05-09,7.35,8.190049,5.824448,0.18651606,3.930428,-0.480374,-10.835058,8.598631,0.3998479,-0.923021,6.726147,-5.2375164
2016-05-10,7.39,8.068135,-2.0825934,0.22487243,4.7387066,-0.57916117,-13.063249,10.366909,0.48207515,-1.112837,6.72803,2.3653815
2016-05-11,7.65,8.359402,-6.5773396,0.33085978,6.972164,-0.85213274,-19.220247,15.253063,0.7092879,-1.6373417,6.7299137,6.6511745
2016-05-12,7.52,8.6863985,-1.513227,0.38730356,8.161596,-0.99750423,-22.49917,17.855194,0.8302905,-1.9166678,6.731797,1.6467849
2016-05-13,7.52,8.581864,5.9776154,0.33661076,7.0933533,-0.86694443,-19.55433,15.518191,0.7216167,-1.6658019,6.7336802,-5.7121253
2016-05-16,7.43,7.907359,5.502757,0.1910454,4.025874,-0.49203938,-11.098175,8.80744,0.40955773,-0.9454356,6.7393303,-5.232995
2016-05-17,7.65,8.014737,-2.3582628,0.27091655,5.708988,-0.69774824,-15.738035,12.489603,0.58078325,-1.3406978,6.741214,2.3579772
2016-05-18,7.6,8.483898,-6.1685877,0.26850048,5.6580744,-0.69152564,-15.597681,12.378218,0.5756037,-1.3287412,6.7430973,6.6469393
2016-05-19,7.52,8.87669,-0.908174,0.29905894,6.3020296,-0.7702294,-17.37288,13.787004,0.6411142,-1.4799675,6.7449803,1.6337522
2016-05-20,7.43,7.7403297,6.2981415,0.08684984,1.8301752,-0.22368266,-5.0452657,4.00389,0.18618625,-0.429798,6.746864,-5.713031
2016-05-23,7.26,8.15321,5.770605,0.18445516,3.886999,-0.47506613,-10.715337,8.503622,0.3954298,-0.9128221,6.752514,-5.2371893
2016-05-24,7.35,7.6111517,-1.4980289,-0.0017208485,-0.036263213,0.0044320626,0.09996723,-0.07933334,-0.0036891066,0.008516046,6.754397,2.362875
2016-05-25,7.35,7.3068824,-5.7548003,-0.073566414,-1.5502553,0.18947105,4.2736073,-3.391507,-0.15770961,0.36406168,6.7562804,6.6513
2016-05-26,7.26,7.144925,-0.8036073,-0.09570777,-2.0168371,0.24649632,5.5598383,-4.4122515,-0.20517561,0.47363365,6.758164,1.6403723
2016-05-27,7.39,7.282668,6.502143,-0.057749007,-1.2169372,0.14873315,3.354745,-2.662304,-0.123800695,0.2857853,6.760047,-5.707994
2016-05-30,7.48,7.9287996,6.136756,0.057457723,1.210799,-0.14798295,-3.3378239,2.6488755,0.123176254,-0.2843438,6.765697,-5.2438116
2016-05-31,7.56,7.8863554,-1.5558586,0.06935143,1.4614333,-0.17861529,-4.0287504,3.1971903,0.14867364,-0.34320274,6.7675805,2.3485532
2016-06-01,7.56,8.064763,-5.7741475,0.08800417,1.8545002,-0.22665565,-5.112323,4.057106,0.18866087,-0.43551052,6.769464,6.655665
2016-06-02,7.6,8.134809,-1.1040618,0.17534828,3.695091,-0.45161128,-10.186301,8.083783,0.37590674,-0.8677545,6.771347,1.6430621
2016-06-03,7.56,8.236924,6.052514,0.23905744,5.0376253,-0.6156949,-13.887282,11.020857,0.5124846,-1.1830351,6.7732306,-5.712833
2016-06-06,7.48,8.533186,5.800627,0.25135398,5.296749,-0.64736474,-14.601611,11.587745,0.5388456,-1.2438877,6.7788806,-5.228151
2016-06-07,7.39,8.066993,-1.814487,0.16154721,3.404263,-0.41606647,-9.384572,7.4475355,0.34632036,-0.79945654,6.7807636,2.341145
2016-06-08,7.48,8.079649,-6.1743054,0.17437439,3.6745684,-0.44910303,-10.129726,8.038885,0.3738189,-0.86293495,6.782647,6.651425
2016-06-09,7.56,8.05784,-1.0035208,0.13422066,2.8284144,-0.34568673,-7.797124,6.187747,0.2877385,-0.6642243,6.7845306,1.645745
2016-06-10,7.56,8.013395,6.5369363,0.08587616,1.809657,-0.22117493,-4.988703,3.959002,0.18409888,-0.4249795,6.786414,-5.713732
2016-06-13,7.48,8.084873,6.11436,0.08736768,1.8410878,-0.22501637,-5.0753484,4.027764,0.1872964,-0.4323607,6.7920637,-5.232341
2016-06-14,7.39,8.018534,-1.6786063,0.115878426,2.4418907,-0.29844606,-6.7315893,5.3421454,0.24841692,-0.5734531,6.793947,2.358349
2016-06-15,7.39,7.5451574,-5.9144874,0.0035358653,0.07451082,-0.0091066575,-0.20540486,0.16300797,0.007580089,-0.01749811,6.7958307,6.647189
2016-06-16,7.31,7.4481196,-0.8984282,-0.01783941,-0.37592748,0.045945577,1.0363237,-0.8224198,-0.03824362,0.08828274,6.7977138,1.6327121
2016-06-17,7.18,7.3316927,6.4420495,-0.04239647,-0.89341515,0.109192535,2.462888,-1.954532,-0.09088836,0.20980945,6.7995973,-5.710613
2016-06-20,7.22,7.1169696,5.929052,-0.080988325,-1.7066563,0.20858628,4.7047596,-3.733667,-0.1736205,0.40079084,6.8052473,-5.236534
2016-06-21,7.22,6.9416933,-1.6825284,-0.11615766,-2.447775,0.29916522,6.74781,-5.3550186,-0.24901552,0.574835,6.807131,2.363247
2016-06-22,7.18,7.0994663,-5.7951264,-0.12037187,-2.5365806,0.310019,6.9926214,-5.549299,-0.25804985,0.5956901,6.809014,6.6515493
2016-06-23,7.31,6.977877,-0.78042275,-0.14716083,-3.1011004,0.37901422,8.5488405,-6.7843046,-0.31547922,0.7282619,6.8108974,1.639331
2016-06-24,7.09,7.268689,6.346476,-0.038914777,-0.8200459,0.100225404,2.2606304,-1.7940215,-0.083424404,0.19257943,6.8127804,-5.707596
2016-06-27,7.09,7.4347606,5.8041987,0.0099046305,0.20871896,-0.025509477,-0.575378,0.45661628,0.021233268,-0.049015522,6.8184304,-5.234439
