ds,y,yhat1,ar1,lagged_regressor_volume1,lagged_regressor_rsi1,lagged_regressor_volatility_20d1,lagged_regressor_vnindex_close1,lagged_regressor_vn30_close1,lagged_regressor_usd_vnd1,lagged_regressor_interest_rate1,trend,season_weekly
2016-02-04,12.02,,,,,,,,,,,
2016-02-05,12.05,,,,,,,,,,,
2016-02-08,12.06,,,,,,,,,,,
2016-02-09,12.07,,,,,,,,,,,
2016-02-10,12.08,,,,,,,,,,,
2016-02-11,12.09,,,,,,,,,,,
2016-02-12,12.1,,,,,,,,,,,
2016-02-15,12.11,,,,,,,,,,,
2016-02-16,12.11,,,,,,,,,,,
2016-02-17,11.96,,,,,,,,,,,
2016-02-18,12.11,12.71404,-10.171437,0.43659306,-3.680771,0.3443761,8.296765,-5.985899,0.7523353,0.5554075,17.193245,4.9734254
2016-02-19,12.05,12.843539,10.909986,0.5613105,-4.7322226,0.44275078,10.666824,-7.695835,0.9672479,0.7140657,17.200375,-16.190962
2016-02-22,12.14,13.790638,9.70218,0.98305523,-8.287812,0.7754148,18.68142,-13.478157,1.6939965,1.250584,17.221764,-14.751806
2016-02-23,12.32,12.0741005,-12.226885,-0.0011014913,0.009286307,-0.00086883485,-0.020932108,0.01510197,-0.0018980849,-0.0014012512,17.228893,7.073907
2016-02-24,12.71,13.243306,-24.53285,0.73945355,-6.234087,0.5832665,14.052152,-10.138261,1.2742231,0.94068855,17.236021,19.3227
2016-02-25,12.56,14.587774,-10.152117,1.5554019,-13.113075,1.2268707,29.557964,-21.325302,2.6802616,1.9786892,17.24315,4.935929
2016-02-26,12.62,15.8979225,10.850517,2.4201274,-20.403288,1.9089491,45.99071,-33.1811,4.1703525,3.0787408,17.25028,-16.18737
2016-02-29,12.32,14.284121,9.269506,1.5226548,-12.836995,1.2010404,28.93566,-20.876324,2.623832,1.9370303,17.271667,-14.76395
2016-03-01,12.23,14.2258625,-12.87535,1.6778102,-14.14506,1.3234239,31.884144,-23.003578,2.8911953,2.1344097,17.278797,7.060071
2016-03-02,12.53,13.299755,-24.541458,0.7508318,-6.3300123,0.5922414,14.268377,-10.294261,1.2938299,0.9551632,17.285927,19.31912
2016-03-03,12.5,14.0764,-10.134556,1.209695,-10.198536,0.9541838,22.988352,-16.585495,2.084541,1.5389014,17.293056,4.92626
2016-03-04,12.56,14.95597,11.1477375,1.6323829,-13.762076,1.2875917,31.02087,-22.380747,2.8129148,2.0766199,17.300184,-16.179506
2016-03-07,12.56,13.547268,9.957929,0.6186778,-5.215867,0.48800096,11.756999,-8.482368,1.066103,0.7870448,17.321571,-14.750823
2016-03-08,12.5,13.958794,-11.99505,0.9418872,-7.9407372,0.7429422,17.899086,-12.913722,1.6230559,1.1982125,17.328701,7.07442
2016-03-09,12.44,13.230511,-24.150522,0.43314838,-3.65173,0.34165898,8.231304,-5.9386706,0.74639934,0.55102545,17.33583,19.33207
2016-03-10,12.5,12.630743,-9.692971,0.011223302,-0.09461993,0.008852722,0.21328121,-0.15387683,0.019339945,0.014277613,17.34296,4.962276
2016-03-11,12.5,12.545166,10.9812765,0.2407054,-2.0293071,0.18986371,4.5742273,-3.3001857,0.4147825,0.306211,17.35009,-16.182497
2016-03-14,12.53,13.890611,9.730445,0.94245493,-7.945524,0.7433901,17.909876,-12.921508,1.6240343,1.1989348,17.371477,-14.762967
2016-03-15,12.62,14.660018,-11.892669,1.2623473,-10.642431,0.99571496,23.988926,-17.307384,2.1752715,1.6058826,17.378607,7.095754
2016-03-16,12.98,14.14662,-24.20576,1.0004582,-8.43453,0.78914195,19.012136,-13.71676,1.7239853,1.2727231,17.385735,19.31949
2016-03-17,12.83,14.95792,-9.833189,1.4854466,-12.523306,1.1716913,28.228575,-20.36618,2.559715,1.8896961,17.392864,4.9526067
2016-03-18,12.77,14.96192,11.206392,1.5460066,-13.033867,1.2194598,29.379425,-21.196487,2.6640718,1.966737,17.399994,-16.18981
2016-03-21,12.89,12.933631,9.674786,0.3567205,-3.0073922,0.2813742,6.778912,-4.890808,0.61469924,0.45379844,17.421383,-14.749842
2016-03-22,13.01,14.54212,-12.493095,1.5548832,-13.108703,1.2264615,29.548111,-21.318192,2.679368,1.9780294,17.42851,7.0467467
2016-03-23,12.89,15.236637,-24.22609,1.6421595,-13.8445,1.2953033,31.20666,-22.51479,2.829762,2.089057,17.43564,19.323437
2016-03-24,12.65,15.486565,-9.81553,1.777457,-14.985148,1.4020233,33.777775,-24.369781,3.062906,2.2611744,17.44277,4.9329224
