index,date,open,high,low,close,volume,ticker,vnindex_close,vn30_close,log_return,volatility_20d,ma20,ma50,rsi,usd_vnd,interest_rate
49,2016-02-04,12.02,12.2,12.02,12.02,286750,VCB,0.54,0.56,0.01003352899,0.02379460349,12.242,12.5954,41.77878069,21920.0,6.5
50,2016-02-05,11.9,12.14,11.9,12.05,268300,VCB,0.54,0.56,0.00249273083,0.02380512102,12.2105,12.5636,42.40829971,21949.0,6.5
51,2016-02-15,11.96,12.2,11.84,12.11,800790,VCB,0.54,0.56,0.004966897628,0.02383631378,12.1865,12.5396,43.71900191,22007.0,6.5
52,2016-02-16,12.05,12.26,12.05,12.11,390050,VCB,0.55,0.56,0.0,0.0233366846,12.1505,12.524,43.71900191,22007.0,6.5
53,2016-02-17,12.11,12.2,11.96,11.96,827530,VCB,0.55,0.56,-0.01246380904,0.0233917162,12.113,12.5102,41.0127256,22084.0,6.5
54,2016-02-18,12.02,12.29,11.99,12.11,735780,VCB,0.55,0.57,0.01246380904,0.02354064915,12.0905,12.4988,44.69925389,21995.0,6.5
55,2016-02-19,12.2,12.2,12.05,12.05,473670,VCB,0.55,0.57,-0.004966897628,0.02267266142,12.083,12.4838,43.52741793,21942.0,6.5
56,2016-02-22,12.05,12.17,12.02,12.14,653090,VCB,0.56,0.57,0.007441125695,0.01944381665,12.11,12.4724,45.8218067,22036.0,6.5
57,2016-02-23,12.23,12.5,12.23,12.32,1130660,VCB,0.56,0.57,0.01471817247,0.01722492563,12.1205,12.4736,50.18130386,22011.0,6.5
58,2016-02-24,12.32,12.92,12.23,12.71,1653800,VCB,0.57,0.58,0.0311651271,0.01837028991,12.155,12.4688,58.05637718,21897.0,6.5
59,2016-02-25,12.77,12.92,12.5,12.56,1236220,VCB,0.56,0.57,-0.01187192416,0.01821898825,12.191,12.4712,54.48874256,21965.0,6.5
60,2016-02-26,12.62,12.62,12.41,12.62,493160,VCB,0.57,0.58,0.004765696073,0.01821734657,12.227,12.476,55.66241563,22140.0,6.5
61,2016-02-29,12.56,12.62,12.32,12.32,887030,VCB,0.56,0.58,-0.02405889901,0.01518551701,12.2165,12.4742,48.8754759,21941.0,6.5
62,2016-03-01,12.38,12.47,12.23,12.23,849900,VCB,0.56,0.57,-0.007332008406,0.01402402559,12.218,12.4688,47.02309993,21951.0,6.5
63,2016-03-02,12.35,12.59,12.32,12.53,647420,VCB,0.57,0.58,0.02423381921,0.01500143669,12.236,12.4598,53.3674962,21947.0,6.5
64,2016-03-03,12.59,12.65,12.47,12.5,464550,VCB,0.57,0.58,-0.0023971246,0.01502325551,12.2525,12.4484,52.68797973,21787.0,6.5
65,2016-03-04,12.5,12.77,12.47,12.56,681190,VCB,0.57,0.58,0.004788516732,0.01425496289,12.2585,12.4352,53.95085203,21883.0,6.5
66,2016-03-07,12.62,12.68,12.53,12.56,567700,VCB,0.58,0.58,0.0,0.01365010707,12.275,12.4388,53.95085203,21919.0,6.5
67,2016-03-08,12.56,12.62,12.44,12.5,775770,VCB,0.57,0.58,-0.004788516732,0.01357494564,12.293,12.4334,52.33085166,21949.0,6.5
68,2016-03-09,12.53,12.59,12.41,12.44,469530,VCB,0.57,0.58,-0.004811556997,0.01271133727,12.32,12.4268,50.69162977,21933.0,6.5
69,2016-03-10,12.47,12.53,12.32,12.5,643780,VCB,0.58,0.58,0.004811556997,0.01259547572,12.344,12.422,52.30070584,21923.0,6.5
70,2016-03-11,12.56,12.59,12.47,12.5,510750,VCB,0.58,0.58,0.0,0.01260223557,12.3665,12.4184,52.30070584,21844.0,6.5
71,2016-03-14,12.47,12.53,12.41,12.53,807110,VCB,0.58,0.59,0.0023971246,0.01258168729,12.3875,12.4136,53.18656726,21944.0,6.5
72,2016-03-15,12.47,12.65,12.47,12.62,1294120,VCB,0.57,0.58,0.007157088205,0.01263232994,12.413,12.4106,55.83643328,21915.0,6.5
73,2016-03-16,12.65,13.07,12.65,12.98,1864950,VCB,0.58,0.58,0.02812685416,0.01341227043,12.464,12.4058,64.49406416,21699.0,6.5
74,2016-03-17,13.07,13.13,12.83,12.83,1074970,VCB,0.58,0.59,-0.01162353265,0.01369935932,12.5,12.3962,59.27955647,21957.0,6.5
75,2016-03-18,12.8,12.86,12.68,12.77,3546350,VCB,0.58,0.58,-0.004687508583,0.01369106822,12.536,12.3878,57.28441043,21950.0,6.5
76,2016-03-21,13.01,13.19,12.86,12.89,1862820,VCB,0.57,0.58,0.009353146907,0.01373105129,12.5735,12.386,60.17161229,21944.0,6.5
77,2016-03-22,12.92,13.01,12.86,13.01,592130,VCB,0.57,0.58,0.009266475573,0.01353889387,12.608,12.3908,62.8740344,21939.0,6.5
78,2016-03-23,13.01,13.01,12.86,12.89,645700,VCB,0.57,0.58,-0.009266475573,0.01199984062,12.617,12.3902,58.59261269,22027.0,6.5
79,2016-03-24,12.89,12.92,12.62,12.65,825250,VCB,0.57,0.58,-0.01879460178,0.01247220235,12.6215,12.3878,51.09820972,21971.0,6.5
80,2016-03-25,12.62,12.86,12.5,12.86,1381530,VCB,0.57,0.58,0.01646450364,0.01295484608,12.6335,12.3914,56.35825001,22270.0,6.5
81,2016-03-28,12.89,12.92,12.8,12.86,533900,VCB,0.58,0.58,0.0,0.01155225274,12.6605,12.3968,56.35825001,22270.0,6.5
82,2016-03-29,12.89,12.89,12.62,12.62,325890,VCB,0.57,0.58,-0.0188388617,0.01231071875,12.68,12.3926,49.32589765,21933.0,6.5
83,2016-03-30,12.5,12.71,12.5,12.65,444490,VCB,0.57,0.58,0.00237435806,0.01110383703,12.686,12.3914,50.16302114,21919.0,6.5
84,2016-03-31,12.62,12.68,12.32,12.32,937910,VCB,0.56,0.57,-0.02643325707,0.01262746118,12.677,12.3866,41.95300666,21934.0,6.5
85,2016-04-01,12.32,12.44,12.26,12.29,554870,VCB,0.56,0.57,-0.002438034527,0.01256461996,12.6635,12.3884,41.29138204,21950.0,6.5
86,2016-04-04,12.38,12.41,12.17,12.29,439520,VCB,0.56,0.57,0.0,0.01256461996,12.65,12.4022,41.29138204,21940.0,6.5
87,2016-04-05,12.29,12.44,12.23,12.32,610190,VCB,0.56,0.57,0.002438034527,0.01255646401,12.641,12.4064,42.34588605,21947.0,6.5
88,2016-04-06,12.32,12.62,12.29,12.62,920280,VCB,0.57,0.58,0.02405889901,0.01367192869,12.65,12.4184,51.69054035,21858.0,6.5
89,2016-04-07,12.68,12.68,12.35,12.53,594270,VCB,0.57,0.58,-0.007157088205,0.01374507632,12.6515,12.4322,49.11846515,21946.0,6.5
90,2016-04-08,12.47,12.53,12.41,12.44,653640,VCB,0.57,0.58,-0.007208681597,0.01384255487,12.6485,12.443,46.62023889,21947.0,6.5
91,2016-04-11,12.44,12.62,12.29,12.5,985640,VCB,0.58,0.59,0.004811556997,0.01387725382,12.647,12.4424,48.50077258,21942.0,6.5
92,2016-04-12,12.5,12.8,12.32,12.65,970780,VCB,0.58,0.59,0.01192857087,0.01404889511,12.6485,12.4514,52.9622221,21955.0,6.5
93,2016-04-13,12.71,12.74,12.56,12.59,633990,VCB,0.58,0.58,-0.004754367117,0.0124293586,12.629,12.4598,51.0568747,21943.0,6.5
94,2016-04-14,12.59,12.77,12.56,12.71,774160,VCB,0.58,0.59,0.009486237145,0.01242300603,12.623,12.4706,54.57655127,21948.0,6.5
95,2016-04-15,12.77,13.07,12.71,12.77,1187790,VCB,0.58,0.58,0.004709584843,0.01243279454,12.623,12.4772,56.26989929,21933.0,6.5
96,2016-04-19,12.8,13.01,12.68,12.74,983900,VCB,0.57,0.58,-0.0023520199,0.01224339417,12.6155,12.4874,55.16259871,21946.0,6.5
97,2016-04-20,12.77,12.86,12.65,12.86,769750,VCB,0.57,0.58,0.009375068665,0.01224801633,12.608,12.5018,58.66638383,21939.0,6.5
98,2016-04-21,12.86,12.98,12.8,12.89,818280,VCB,0.58,0.58,0.002330098142,0.01208859835,12.608,12.5216,59.51807641,21974.0,6.5
99,2016-04-22,12.89,13.76,12.89,13.73,2478140,VCB,0.59,0.6,0.06313140283,0.01787867511,12.662,12.5558,75.03165372,21920.0,6.5
100,2016-04-25,13.79,14.06,13.79,13.79,1300050,VCB,0.59,0.59,0.004360472025,0.01764125756,12.7085,12.5906,75.74661068,21941.0,6.5
101,2016-04-26,13.67,14.18,13.67,14.18,835300,VCB,0.6,0.6,0.0278888293,0.018435146,12.7745,12.632,79.79627953,21942.0,6.5
102,2016-04-27,14.18,14.27,13.79,13.82,1194570,VCB,0.59,0.6,-0.02571570276,0.01895765618,12.8345,12.6662,68.43677955,21914.0,6.5
103,2016-04-28,13.82,14.06,13.73,13.88,693290,VCB,0.59,0.6,0.004332136739,0.01895092934,12.896,12.7046,69.22316234,21953.0,6.5
104,2016-04-29,13.7,14.06,13.7,13.82,726380,VCB,0.6,0.6,-0.004332136739,0.01764289621,12.971,12.7388,67.41436536,21937.0,6.5
105,2016-05-04,13.76,14.03,13.58,13.85,747740,VCB,0.6,0.6,0.002168414294,0.01756032637,13.049,12.7748,67.86648288,22255.0,6.5
