Feature,Group,BID_rank,BID_shap,CTG_rank,CTG_shap,VCB_rank,VCB_shap,rank_variance
VN30 (t-1),Macro,14,0.00027016414,9,0.0007618782,4,0.0021755828,16.666666666666668
Volume (t-1),Tech,9,0.00044065737,13,0.0003209151,7,0.0010100695,6.222222222222221
Return (t-3),Tech,12,0.00030738805,8,0.00081054826,14,0.00031529338,6.222222222222221
USD/VND (t-1),Macro,5,0.0020764216,2,0.0041287043,6,0.0014313279,2.888888888888889
Volatility 20d (t-2),Tech,7,0.0012176111,5,0.0010672443,9,0.00061995786,2.6666666666666665
Return (t-5),Tech,10,0.00038034175,12,0.0004146561,13,0.00037209797,1.5555555555555556
Price / MA50,Tech,4,0.0023919346,7,0.0008680924,5,0.0014638016,1.5555555555555554
Volume Ratio,Tech,1,0.0046980726,1,0.0051415414,3,0.00250921,0.888888888888889
Volatility 20d (t-1),Tech,6,0.0016620214,6,0.0008931492,8,0.00069707603,0.888888888888889
Return (t-1),Tech,8,0.00070010626,10,0.0007287698,10,0.000501334,0.888888888888889
RSI (t-1),Tech,3,0.0023989927,4,0.0025916358,2,0.0026704206,0.6666666666666666
VNIndex (t-1),Macro,13,0.00028718446,14,0.00029508845,12,0.00038093867,0.6666666666666666
Price / MA20,Tech,2,0.0032620959,3,0.0037610054,1,0.0040363483,0.6666666666666666
Return (t-2),Tech,11,0.0003571772,11,0.00059896073,11,0.00044403042,0.0
Interest Rate (t-1),Macro,15,0.000101451675,15,2.9039922e-05,15,5.7544734e-05,0.0
